Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
Wohnen am grünen Stadtrand von Berlin;1299;1031;268;2000;55;2;1; 13057 Berlin, Falkenberg;Möbliert, Wohnen auf Zeit, saniert, Energieausweis in Vorbereitung;;2018;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;05.04.2025;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36467688
Bright 1-Room appartment in Friedrichshain;900;700;200;900;35;1;2; 10243 Berlin, Friedrichshain;Möbliert, Aufzug, Wohnen auf Zeit, Energieausweis nicht notwendig (Denkmalschutz);;1951;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;04.02.2025;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36601196
Apartment / Wohnung möbliert;1200;900;300;2700;34;1;2; 10999 Berlin, Kreuzberg;Möbliert, Altbau, Wohnen auf Zeit, modernisiert, Energieausweis nicht notwendig (Denkmalschutz);;1920;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Gas;;https://www.wohnungsboerse.net/immodetail/36578146
Apartment / Wohnung möbliert bis 2027;1200;900;300;2700;34;1;2; 10999 Berlin, Kreuzberg;Möbliert, Altbau, Wohnen auf Zeit, modernisiert, Energieausweis nicht notwendig (Denkmalschutz);;1920;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Gas;;https://www.wohnungsboerse.net/immodetail/36577815
Lichtdurchflutete 4 Zimmer Wohnung;2515;2200;315;6600;123;4;1; 12277 Berlin, Marienfelde;Neubau, modernisiert, Energieausweis in Vorbereitung;;2017;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;ab sofort;;Gas;;https://www.wohnungsboerse.net/immodetail/36560507
Herrliche 3-Zimmer Altbauwohnung nähe Schloss Charlottenburg;1990;1700;290;1700;83;3;2; 10587 Berlin, Charlottenburg;Keller, Altbau, Teilmöbliert, Wohnen auf Zeit, gepflegt, Bedarfsausweis;;1888;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;16.03.2025;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36526930
6 Monate: 2-Zimmer-Appartement in Berlin Weißensee 23 m² möbliertes Wohnen 01.01.-30.06.;600;600;;;23;2;1; 13088 Berlin, Weißensee;Möbliert, Altbau, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;1900;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.02.2025;;Gas;;https://www.wohnungsboerse.net/immodetail/32648703
OTIVAR - 1 bedroom apartment in  Genthiner Straße (Berlin);2180;1795;385;2000;50;2;5; 10785 Berlin, Schöneberg;Möbliert, Aufzug, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;04.03.2024;;Öl;;https://www.wohnungsboerse.net/immodetail/34039200
Kwilu - 3 rooms apartment with Terrace in Mitte (Berlin);2826;2340;486;2000;91;2;4; 10117 Berlin, Mitte;Möbliert, Aufzug, Neubau, Tiere erlaubt, Wohnen auf Zeit, renoviert, Energieausweis in Vorbereitung;;2014;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/35470718
2 Zimmer Wohnung in Lichterfelde;840;650;190;1300;65;2;1; 14167 Berlin;renoviert, Energieausweis in Vorbereitung;;1974;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.02.0024;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/29517880
