Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
Untermieter:in gesucht - ab September;1700;1400;300;;62;2;"4
                                                                                    von 6"; 10117 Berlin, Kreuzberg;Aufzug, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;19.02.2025;;;;https://www.wohnungsboerse.net/immodetail/36702994
Moderne 3 Zimmer Wohnung mit Balkon im Grünen!;1935;1495;440;;95.04;3;"1
                                                                                    von 2"; 13158 Berlin, Rosenthal;Keller, Bedarfsausweis;;2020;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.12.2024;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36702940
Moderne 3 Zimmer Wohnung mit Terrasse im Grünen!;1795;1415;380;;83.3;3;; 13158 Berlin, Rosenthal;Keller, Behindertengerecht, Bedarfsausweis;;2020;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;01.01.2025;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36702941
Schöne 2,5-Wohnung mit gehobener Innenausstattung mit Balkon und EBK in Berlin Mitte;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>25,71";1800;;;70;2.5;"3
                                                                                    von 3";;;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;4.2.2025;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36702947
Längerfristige Zwischenmiete für 1-2 Jahre - sonnige 2-Zimmer Wohnung am Paracelsusbad;950;650;300;;50;2;"2
                                                                                    von 3";;Keller;;1952;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;1.4.2025;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36702959
*Short-Time* 01.03.-31.03.25;1000;850;150;;80;2;;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.03.2025;;;;https://www.wohnungsboerse.net/immodetail/36702960
Wunderschöne Dachgeschosswohnung in Lichterfelde-West sucht Nachmieter;1382;1207;175;;58;2.5;"3
                                                                                    von 3";;Keller;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.05.2025;;;;https://www.wohnungsboerse.net/immodetail/36702961
Erstbezug nach Sanierung: exklusive 1-Zimmer-Wohnung mit EBK und Balkon in Berlin;1450;1150;300;;42;1;"3
                                                                                    von 4";;Aufzug, Keller;;1954;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2025;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36685573
Exklusive möblierte 3-Raum-Wohnung mit Balkon und Einbauküche in Berlin-Spandau;1375;1025;350;;75;3;"1
                                                                                    von 3";;Möbliert, Keller, Tiere erlaubt, Strom, liegt vor;;1962;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;15.2.2025;;;;https://www.wohnungsboerse.net/immodetail/36702900
Sympathische Familie für ein attraktives Zweifamilienhaus gesucht...;1840;1685;155;;82.19;3;; 13089 Berlin, Heinersdorf;Strom, Bedarfsausweis, A+;;2024;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;sofort;;;;https://www.wohnungsboerse.net/immodetail/36702904
Gemütliche Wohnung mit EBK;1170;970;200;;34;1;;;Keller, Fussbodenheizung, Bedarfsausweis;;2021;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;B;;;https://www.wohnungsboerse.net/immodetail/36702888
"Einfamilienhaus &quot;Ihr neues Glück&quot;";2604;2199;405;;137.65;5;872; 12355 Berlin, Rudow;;;2017;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;nach Vereinbarung;A;Gas;;https://www.wohnungsboerse.net/immodetail/36702866
Über den Dächern Berlins! Exklusive Dachgeschosswohnung in zentraler Lage in Neukölln!;2200;1905;295;;94.98;3;"5
                                                                                    von 5"; 12047 Berlin, Neukölln;Tiere erlaubt, Verbrauchsausweis;;1903;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;D;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36702859
Traumhafte 6 Zimmer Wohnung in 1A Lage/ gorgeous 6 room apartment in prime location;4895;4500;395;;182;6;"2
                                                                                    von 5"; 10115 Berlin, Mitte;Aufzug, Keller, Tiere erlaubt, Verbrauchsausweis;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2025;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36626995
Freundliche 2-Zimmer-Wohnung in Berlin Friedrichshain;900;800;100;;80;2;; 10247 Berlin, Friedrichshain;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;1.2.2025;;;;https://www.wohnungsboerse.net/immodetail/36695670
Tauschwohnung: Altbauwohnung an Sophie-Charlotte-Platz;1168;976;192;;66;2;3;;Keller, Altbau, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/36654986
3 Zimmerwohnung im Neubau sucht neuen Mieter!;1795,81;1463,81;332;;75.61;3;"2
                                                                                    von 10"; 10319 Berlin, Friedrichsfelde;Aufzug, Neubau, Tiere erlaubt, Behindertengerecht, KWK, Bedarfsausweis;;2019;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2025;A;;;https://www.wohnungsboerse.net/immodetail/36618142
Träumchen im 2ten Stock! Frisch renoviert mit 2 Ebenen und Marmorfussbodenheizung in Schlachtensee.;1990;1890;100;;90;3.5;"2
                                                                                    von 2"; 14129 Berlin, Zehlendorf;;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;1.10.2024;;;;https://www.wohnungsboerse.net/immodetail/35736480
Nachmieter für sanierte Altbauwohnung in Berlin Tegel gesucht;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>16,38";1802;;;110;3.5;"1
                                                                                    von 2";;Keller, Altbau, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;2.4.2025;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36647590
700.0 € - 60.0 m² - 2.0 Zi.;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>11,67";700;;;60;2;; 10243 Berlin, Friedrichshain;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Ab sofort bezugsfrei;;;;https://www.wohnungsboerse.net/immodetail/36695502
Tauschwohnung: Helle 2,5-Zi-DG-Whng. gg. größere nah Plänterwald/Trept Park;975;850;125;;58;2.5;5;;;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/36663257
Neuwertige 2-Raum-Wohnung mit Balkon und EBK in Berlin-Tiergarten;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>20,11";1250;;;62.17;2;"1
                                                                                    von 1"; 10553 Berlin, Tiergarten;Aufzug, Keller;;1901;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;1.12.2024;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36195050
Exklusive möblierte 3-Raum-Wohnung mit gehobener Innenausstattung mit EBK in berlin Tempelhof;2600;2100;500;;75;3;"4
                                                                                    von 4"; 12105 Berlin, Mariendorf;Möbliert, Aufzug, Keller, Behindertengerecht;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;16.1.2025;;;;https://www.wohnungsboerse.net/immodetail/36165106
Furnished, beautiful rooftop apartment * REGISTRATION POSSIBLE * 2 year rental;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>27,85";2200;;;79;3;; 13189 Berlin, Pankow;Möbliert, Aufzug, Keller, Tiere erlaubt, Behindertengerecht, liegt vor;;2019;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;1.3.2025;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36492166
Mietvertrag mit Anmeldung / Erstbezug + Balkon + EBK + Dachterrasse + Berlin Kreuzberg;3365;2985;380;;99.47;4.5;"4
                                                                                    von 6";;Aufzug, Keller, Tiere erlaubt, Behindertengerecht, liegt vor;;2025;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;15.3.2025;;;;https://www.wohnungsboerse.net/immodetail/36664248
Sublease! Untermiete für 1 Monat!!! Möblierte 1-Raum-Wohnung in Berlin Friedrichshain;850;700;150;;45;1;"1
                                                                                    von 4";;Möbliert, Aufzug;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;11.2.2025;;;;https://www.wohnungsboerse.net/immodetail/36677595
;1546;876;670;;73;3;"5
                                                                                    von 5"; 10709 Berlin, Wilmersdorf;Aufzug, Stellplatz, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;15.02.2025;;;;https://www.wohnungsboerse.net/immodetail/36579141
Altbau im Friedrichshainer Rudolfkiez an der Spree für 12 Monate;2000;1755;245;;81.5;2;"1
                                                                                    von 4";;Keller, Altbau;;1900;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.02.2025;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36702135
Ruhiger Altbau im Rudolfkiez an der Spree für 12 Monate;1900;1670;230;;78.8;2.5;"2
                                                                                    von 4";;Keller, Altbau;;1900;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.02.2025;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36702137
Großzügiges Wohnen am Kurfürstendamm;5950;5250;700;;235;4;;;Aufzug, Keller, Tiere erlaubt, Behindertengerecht, Erdwärme, Energieausweis in Vorbereitung;;2015;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;1.3.2025;;;;https://www.wohnungsboerse.net/immodetail/36702086
Bright spacious alcove studio in Tiergarten;1550;1300;250;;49;1;"2
                                                                                    von 6"; 10787 Berlin, Tiergarten;Aufzug, Keller, Tiere erlaubt, Behindertengerecht;;1978;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;2.4.2025;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36702097
"Exklusive 5 Raum-Maisonette-Wohnung (12-22Monate befristet; teilweise möbliert) in Berlin Pankow";2850;2300;550;;169;5;;;Möbliert, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.03.2025;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36374313
2-Zimmer-Dachgeschosswohnung in Berlin-Zehlendorf, nur mit WBS für besonderen Wohnbedarf;885,76;668,76;217;;55.73;2;3; 14129 Berlin, Zehlendorf;Keller;;1996;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;;;;https://www.wohnungsboerse.net/immodetail/36133249
4 Jahres-Zeitmietvertrag 4 Zimmer 123 m2 mit 30m2 Dachterrasse ERSTBEZUG nach Sanierung 2023;2550;1950;600;;123;4;"4
                                                                                    von 4";;Tiere erlaubt, liegt vor;;1980;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;15.2.2025;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/36690619
Penthouse in Ku-Damm Nähe mit umlaufender Terrasse;1934;1684;250;;67;2;"5
                                                                                    von 5";;Aufzug, Keller, Behindertengerecht;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Verfügbar;03.02.2025;;;;https://www.wohnungsboerse.net/immodetail/36696036
Freie Wohnung 4 Zimmer frei ab 01.04.25;2500;1900;600;;108.49;4;; 12103 Berlin, Schöneberg;Aufzug, Keller, Tiere erlaubt, Behindertengerecht, Fussbodenheizung;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;01.04;;;;https://www.wohnungsboerse.net/immodetail/36698982
Tauschwohnung: Renovierte Altbauwohnung am Rüdesheimer Platz;900;750;150;;42;1;3;;Keller, Altbau, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/36701988
Hochwertig möblierte 1 Zimmerwohnung mit Küche und Bad im Winsviertel ab März 2025;1200;800;400;;45;1;1;;Möbliert, Energieausweis in Vorbereitung;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;ab 01.03.2025;;;;https://www.wohnungsboerse.net/immodetail/36701974
frisch renovierte 2-Zimmerwohnung;738;600;138;;46;2;"3
                                                                                    von 3"; 12107 Berlin, Buckow;Keller, Tiere erlaubt, Energieausweis in Vorbereitung;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36701916
Pankow, Florakiez;1570;1390;180;;60;2;"2
                                                                                    von 5";;Aufzug, Keller, Behindertengerecht, Verbrauchsausweis;;1997;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.02.2025;C;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36701900
Stilvolle, neuwertige 3-Zimmer-Wohnung mit geh. Innenausstattung mit Balkon und EBK;2180;1900;280;;82.23;3;"3
                                                                                    von 6"; 10715 Berlin, Wilmersdorf;Aufzug, Keller, Tiere erlaubt, liegt vor;;2019;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;1.3.2025;;;;https://www.wohnungsboerse.net/immodetail/36701902
Schöne helle 3-Zimmer Maisonette-Wohnung in Berlin Pankow OT Rosenthal;1312,38;1012,38;300;;92.59;3;;;Verbrauchsausweis;;1996;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;D;Gas;;https://www.wohnungsboerse.net/immodetail/36701908
Tauschwohnung: 3 Zimmer Wohnung im gropiosstad;1400;1100;300;;80;3;2;;Keller;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/36701794
Tauschwohnung: Helle 3 Zimmer Whg.  im Süden Berlins mit Blick auf den BER;903;698;205;;69;3;;;Aufzug, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/36701795
Tauschwohnung: PLANUFER - wunderschöne 107 qm große Wohnung inkl. Dachter.;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>21,96";2350;;;107;3;;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/36701796
Urbanes Leben trifft auf entspannte Idylle;2152;1908,08;243,92;;69.69;2;;;Tiere erlaubt, Energieausweis in Vorbereitung;;2025;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;in ca. 3 Monaten;;;;https://www.wohnungsboerse.net/immodetail/36701807
Dein grüner Rückzugsort: Helle 2-Zimmer-Wohnung mit Balkon im 3. OG und Blick in den Innenhof;2074,62;1823,32;251,30;;71.8;2;;;Tiere erlaubt, Energieausweis in Vorbereitung;;2025;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;in ca. 3 Monaten;;;;https://www.wohnungsboerse.net/immodetail/36701808
Urbanes Wohnglück: Ruhige 2-Zimmer-Wohnung mit Balkon im 1. OG in Neukölln;1782,35;1575,47;206,88;;59.11;2;;;Tiere erlaubt, Energieausweis in Vorbereitung;;2025;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;in ca. 3 Monaten;;;;https://www.wohnungsboerse.net/immodetail/36701809
2 Zimmer Apartment in Mitte nahe Friedrichstraße;1540;1161,80;378,20;;62;2;"2
                                                                                    von 7"; 10117 Berlin, Mitte;Verbrauchsausweis;;1999;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;nach Vereinbarung;C;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36701812
Wunderschöne 4-Zimmer-Wohnung mit gehobener Innenausstattung, Balkon und EBK;2650;2300;350;;111;4;"3
                                                                                    von 4";;Aufzug, Keller, Behindertengerecht, KWK, Bedarfsausweis;;2021;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;4.2.2025;B;;;https://www.wohnungsboerse.net/immodetail/36701822
Tauschwohnung: Moderne 3-Zimmer Neubauwohnung im amerikanischen Sti;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>12,00";915,84;;;76.32;3.5;;;Neubau;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/36701750
Tauschwohnung: Schöne 3-Zimmer-Altbauwohnung am Schlosspark gegen 5-Zimmer;1432;1199;233;;103;3;4;;Keller, Altbau;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/36701765
Tauschwohnung: Große helle Wohnung direkt am Rosa-Luxemburg-Platz;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>22,00";2178;;;99;3;;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/36701769
Tauschwohnung: 2-Zimmer-Wohnung am Fennpfuhl mit sonnigem Westbalkon;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>12,63";720;;;57;2;2;;Aufzug, Keller;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/36701774
Tauschwohnung: 2-Zimmer Wohnung, Zentral;675;495;180;;42;2;;;Aufzug, Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/36701775
kleines 2- Zimmer Appartement im EG mit Terrasse�;1193;1065;128;;36.75;2;; 12524 Berlin, Altglienicke;Aufzug, Keller, Tiere erlaubt, Behindertengerecht, Strom, Bedarfsausweis;;2023;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;sofort;;;;https://www.wohnungsboerse.net/immodetail/36701712
Tauschwohnung: Helle 3 Zimmer Wohnung in Rudow;1000;800;200;;78;3;2;;Keller, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/36701726
Tauschwohnung: Schöne Altbauwohnung im Malerviertel;1650;1200;450;;118;4;1;;Keller, Altbau, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/36701684
Tauschwohnung: Tausch: 2-Zimmerwohnung in Friedrichshain;640;540;100;;45;2;;;Keller;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;keine Angabe;;;;https://www.wohnungsboerse.net/immodetail/36701685
Schicke Dachgeschosswohnung mit Aufdachterrasse und Aufzug;4750;4250;500;;235;5;"5
                                                                                    von 5";;Aufzug, Keller, Tiere erlaubt, Energieausweis in Vorbereitung;;1902;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;sofort;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36701694
OWNR: Einziehen und Wohlfühlen – Renoviert und mit Küche! 3 Zi. Wohnung ruhige Lage Tegel;1610;1365;245;;70;3;;;Tiere erlaubt, Energieausweis in Vorbereitung;;1933;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;in ca. 3 Monaten;;;;https://www.wohnungsboerse.net/immodetail/36701671
Voll möblierte luxuriöse 2 Zimmer-Wohnung in Prenzlauerberg mit Balkon;1753,49;1499;254,49;;55.28;2;"3
                                                                                    von 6"; 10439 Berlin, Prenzlauer Berg;Möbliert, Aufzug, Keller;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;2025-02-04;;;;https://www.wohnungsboerse.net/immodetail/36611593
"Unmöbliert 2 -Zimmer-Wohnung mit Balkon in &quot;Embassy&quot; - Mitte";1864,50;1554;310,50;;54.42;2;"5
                                                                                    von 6"; 10179 Berlin, Schöneberg;Möbliert, Aufzug, Tiere erlaubt;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;2025-03-01;;;;https://www.wohnungsboerse.net/immodetail/36628701
"Möbliert 2 -Zimmer-Wohnung mit Balkon in &quot;Embassy&quot; - Mitte";2174,32;1738,82;435,50;;54.42;2;"5
                                                                                    von 6"; 10179 Berlin, Mitte;Möbliert, Aufzug, Keller;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;2025-03-01;;;;https://www.wohnungsboerse.net/immodetail/36646096
Schönes Penthouse in Berlin Mitte mit Garage;3000;2500;500;;130;3.5;"7
                                                                                    von 7"; 10115 Berlin, Mitte;Aufzug, Garage, Keller, Tiere erlaubt, Behindertengerecht;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;03.02.2025;;;;https://www.wohnungsboerse.net/immodetail/36691722
Elegant 3-Room Apartment overlooking Stadtpark Steglitz;2300;1900;400;;82;3;"2
                                                                                    von 3"; 12167 Berlin, Steglitz;Verbrauchsausweis;;1923;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;1.3.2025;E;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36701647
Stilvolle 1-Zimmer-Wohnung mit gehobener Innenausstattung mit Einbauküche in Berlin Schöneberg;1100;950;150;;37.45;1;; 10965 Berlin, Schöneberg;Aufzug, Keller, Behindertengerecht, Bedarfsausweis;;2020;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;3.2.2025;B;;;https://www.wohnungsboerse.net/immodetail/36701661
Möbilierte 2-Zimmer - Wohnung zu vermieten;1225;975;250;;65;2;"1
                                                                                    von 4"; 12105 Berlin, Mariendorf;Keller, Bedarfsausweis;;1951;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;1.3.2025;;Öl;;https://www.wohnungsboerse.net/immodetail/36701540
❤️Moderne Maisonette Wohnung im Industrie-Loft mit Galerieebene in Köpenick ❤️;2333,81;1814,04;519,77;;122.57;4;; 12555 Berlin, Köpenick;Aufzug, Tiere erlaubt, Behindertengerecht;;2019;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.03.2025;;;;https://www.wohnungsboerse.net/immodetail/36473851
!!!Angenehmes WG Zimmer zum vermieten!!!;800;650;150;;35;1;"1
                                                                                    von 5"; 10551 Berlin, Tiergarten;Keller;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Ab sofort bezugsfrei;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36701505
Bildschöne Altbauwohnung im Zweitbezug: 2 Balkone, Top-Grundriss/Rodenbergstraße!;"kA </td> </tr> </table> <table class=""w-full [&_td]:py-2 mt-4""> <tr> <td class=""w-3/5 text-fg-muted"">Preis/m²:</td> <td>19,51";2249;;;115.29;3;2;;Altbau, Tiere erlaubt, Verbrauchsausweis, NOT_APPLICABLE;;1910;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;schon kurzfristig möglich!;;Zentralheizung;;https://www.wohnungsboerse.net/immodetail/36701480
Exklusive 4-Zimmer-Penthousewohnung mit moderner Ausstattung und großer Terrasse;2420;2100;320;;98.42;4;"4
                                                                                    von 4"; 10315 Berlin, Friedrichsfelde;Aufzug, Keller, KWK, Energieausweis in Vorbereitung;;2020;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Verfügbar;Verfügbar;1.4.2025;;;;https://www.wohnungsboerse.net/immodetail/36701494
Befristet 10.02.-15.04. - Möblierte 2-Zimmer-Wohnung in Tempelhof;900;750;150;;52;2;"1
                                                                                    von 4";;Möbliert, Keller;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;10.2.2025;;;;https://www.wohnungsboerse.net/immodetail/36701495
